is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
netspeak_yes few_sixltr has_photo has_hashtag has_url  comic marc maron talks new season maron rehab sobriety 
is_authentic_no is_tone_yes posemo_yes achieve_yes reward_yes netspeak_yes has_url  nfl awards super bowls atlanta south florida los angeles 
is_analytic_yes is_tone_no negemo_yes hear_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes high_wps has_hashtag has_url  npr team business disaster starting today radio pieces doc vr film 
is_authentic_no is_tone_yes posemo_yes cause_yes power_yes netspeak_yes many_sixltr has_url  food shortages control inflation melted popular support venezuelan president nicol maduro 
is_analytic_yes is_authentic_yes power_yes netspeak_yes many_sixltr has_url  81 million bangladesh bank heist sparks push stepped cybersecurity 
is_analytic_yes achieve_yes power_yes netspeak_yes has_photo has_url  greek authorities moving people makeshift camp 10k asylum seekers 
is_authentic_yes posemo_yes insight_yes netspeak_yes low_wps has_url  birth fueled national debate fertility treatment inspired awe septuplets hs graduates 
is_analytic_no is_authentic_no posemo_yes negemo_yes reward_yes risk_yes netspeak_yes many_sixltr has_qmark has_animated_gif has_url  disaster strikes profits npr investigate 
is_clout_yes is_authentic_no is_tone_no negemo_yes anx_yes sad_yes discrep_yes achieve_yes netspeak_yes many_sixltr has_url  monsanto calls bayer 62 billion takeover offer financially inadequate 
is_analytic_no is_clout_yes is_authentic_no tentat_yes certain_yes affiliation_yes netspeak_yes has_animated_gif has_url  kind community kind bonding 
is_analytic_yes is_authentic_no power_yes netspeak_yes has_url  armour ucla reach record 280 million apparel deal 
is_analytic_yes see_yes netspeak_yes many_sixltr has_url  google paris offices searched tax investigation 
is_analytic_no is_clout_yes cause_yes affiliation_yes netspeak_yes has_url  fresh bachelorette make way 26 men gives rundown 
is_authentic_no is_tone_yes posemo_yes achieve_yes netspeak_yes high_wps has_photo has_url  obama lauds vietnam nudges improve human rights record 
is_analytic_yes is_authentic_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  stories migrants greece relocated tracking zika 
is_analytic_yes is_authentic_no see_yes netspeak_yes has_url  photos greece begins evacuating thousands asylum seekers camp 
is_clout_no posemo_yes differ_yes see_yes netspeak_yes few_sixltr has_animated_gif has_url  beautiful home ultimately womb river 
is_analytic_yes netspeak_yes has_animated_gif has_url  india sundarbans crumbling dirt bank stands village rising seawater 
is_authentic_yes netspeak_yes has_photo has_url  turns new robot overlord improvise marimba writes 
is_analytic_no is_clout_yes is_authentic_no discrep_yes power_yes netspeak_yes has_url  62 billion cash buy monsanto 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes sad_yes achieve_yes netspeak_yes has_url  deadly days everest end climbers dead missing 
is_authentic_yes achieve_yes power_yes netspeak_yes has_url  stories vietnam arms ban lifted bombings pro syrian regime areas 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes power_yes reward_yes netspeak_yes few_sixltr has_url  string attacks pro regime cities syria leave scores dead 
is_clout_no is_authentic_no differ_yes netspeak_yes has_url  obama announces lift arms embargo vietnam 
is_analytic_no is_authentic_no is_tone_yes posemo_yes hear_yes netspeak_yes few_sixltr has_url  people like films say interesting paint drying terence davies says 
is_analytic_no is_clout_yes is_authentic_no hear_yes affiliation_yes netspeak_yes has_url  reviewer says author dan vyleta latest book smoke uncategorizable 
is_analytic_no posemo_yes negemo_yes power_yes netspeak_yes nonflu_yes few_sixltr has_url  world divided people adore plague novels wimps according author joe hill 
cause_yes certain_yes differ_yes see_yes netspeak_yes low_wps has_url  correction make unless looking weather massachusetts 
is_analytic_no netspeak_yes low_wps has_url  dowsing hundreds years old controversial 
is_analytic_yes is_authentic_no see_yes netspeak_yes many_sixltr has_url  egypt deploys submarine search egyptair flight data recorders 
affiliation_yes netspeak_yes has_url  ode indy 500 track poet tradition returns 
is_authentic_no reward_yes netspeak_yes has_hashtag has_url  nprreads tour stories weekend 
is_authentic_no see_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  photos egyptian military releases images egyptair plane debris 
is_authentic_no affiliation_yes netspeak_yes low_wps has_url  underground supper club improvisation main ingredient 
is_clout_yes insight_yes see_yes netspeak_yes few_sixltr has_url  secret service shoots armed man near white house 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes sad_yes insight_yes netspeak_yes has_url  sense deep sorrow sprinkled fatalism permeated crowd mosque sidewalk cairo 
see_yes netspeak_yes many_sixltr has_url  protesters storm baghdad green zone dozens reportedly injured 
is_analytic_yes is_tone_yes posemo_yes power_yes netspeak_yes assent_yes has_url  lawmakers agree deal expand regulation toxic chemicals 
is_clout_yes is_authentic_yes insight_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  stories egyptair debris taiwan female president 
is_analytic_no is_authentic_no cause_yes risk_yes netspeak_yes has_qmark has_url  lift million pounds stainless steel carefully 
is_analytic_no discrep_yes power_yes netspeak_yes few_sixltr has_url  town needed fixing single mom stepped 
is_clout_yes is_authentic_yes insight_yes affiliation_yes power_yes netspeak_yes few_sixltr has_url  egyptair flight ms 804 know day 
is_analytic_no is_clout_yes is_authentic_yes insight_yes certain_yes differ_yes hear_yes affiliation_yes netspeak_yes has_hashtag has_url  update egyptair spokesman says stand corrected debris greek island aircraft 
is_authentic_no achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_url  california let local authorities assess water conservation goals amid drought 
is_analytic_yes insight_yes see_yes netspeak_yes few_sixltr has_url  watch robot flies learn stick landing 
netspeak_yes has_url  golfer phil mickelson named insider trading case 
is_analytic_yes is_authentic_no is_tone_no negemo_yes sad_yes see_yes affiliation_yes netspeak_yes many_sixltr has_url  photos rain hampers search families missing sri lankan landslides 
is_authentic_no netspeak_yes many_sixltr high_wps has_url  npr andrew limbong talking trailer 
posemo_yes negemo_yes sad_yes achieve_yes power_yes netspeak_yes many_sixltr has_qmark has_url  stories egyptair plane goes missing trade deal beneficial 
is_authentic_no is_tone_no negemo_yes sad_yes power_yes netspeak_yes has_hashtag has_url  npr en route cover missing egyptair ms 804 
is_analytic_no is_authentic_no discrep_yes differ_yes hear_yes netspeak_yes few_sixltr has_url  report says trade deal boost economy opponents say 
is_analytic_yes is_authentic_no netspeak_yes has_url  npr russell lewis 
is_analytic_no is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_url  winner endless lizard mating game 
is_authentic_no is_tone_yes posemo_yes power_yes netspeak_yes has_qmark has_photo has_url  tiny parasitic wasp save citrus industry 
is_analytic_yes cause_yes achieve_yes power_yes netspeak_yes has_photo has_hashtag has_url  io16 google flexes muscles competitors regulators new products 
is_authentic_no posemo_yes negemo_yes anger_yes tentat_yes power_yes netspeak_yes high_wps has_url  trump list possible supreme court nominees includes judge mocked trump 
is_authentic_no cause_yes tentat_yes achieve_yes low_wps none  donald trump released list 11 potential scotus picks steven colloton iowa allison eid colo raymond gruender mo cont 
is_analytic_no discrep_yes netspeak_yes has_url  backyard vacations 2009 summer 16 air expected set record 
is_analytic_yes is_authentic_yes tentat_yes power_yes netspeak_yes many_sixltr has_url  tangible sign growing military presence eastern europe military base romania 
is_analytic_yes is_authentic_yes insight_yes tentat_yes affiliation_yes netspeak_yes many_sixltr has_url  gmo questions answered join conversation live 
is_analytic_yes see_yes feel_yes power_yes netspeak_yes few_sixltr has_photo has_url  sit donald trump megyn kelly shows light touch 
is_analytic_yes is_authentic_no certain_yes see_yes netspeak_yes few_sixltr high_wps has_url  taipei zoo releases proof life photo panda rumored dead 
achieve_yes power_yes netspeak_yes many_sixltr has_url  stories kentucky oregon primaries kansas voter registration ruling 
insight_yes tentat_yes hear_yes affiliation_yes power_yes netspeak_yes has_url  labor sec tom perez speaking morning edition facebook page submit questions 
is_analytic_yes is_authentic_no netspeak_yes has_url  dream williams jennings bryan arthur sewall ticket alive portland 
is_tone_no negemo_yes anx_yes anger_yes see_yes netspeak_yes many_sixltr has_url  wildfire fighters watching canadian blaze worried summer conditions 
is_authentic_no discrep_yes affiliation_yes netspeak_yes has_url  olympic committee bar 31 athletes rio games 
is_authentic_no is_tone_no negemo_yes anger_yes netspeak_yes has_url  french labor protests tear gas paris truckers block highways 
is_authentic_no is_tone_yes posemo_yes discrep_yes power_yes netspeak_yes has_url  economy poised stronger growth 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anx_yes affiliation_yes power_yes reward_yes netspeak_yes few_sixltr has_photo has_url  fearful fliers hollywood style remedy help skies 
is_analytic_yes is_tone_no negemo_yes anx_yes tentat_yes achieve_yes netspeak_yes few_sixltr has_photo has_url  amid turmoil libya new cafes trying offer taste normalcy tripoli 
is_authentic_yes is_tone_no negemo_yes sad_yes insight_yes tentat_yes achieve_yes netspeak_yes few_sixltr has_url  investigators amtrak engineer lost sense place deadly crash 
is_analytic_no netspeak_yes has_photo has_url  comes economic election prediction models mixed bag 
is_clout_yes is_tone_yes posemo_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_url  stories deadly baghdad bombings man booker international prize 
is_analytic_yes is_tone_no negemo_yes anger_yes netspeak_yes few_sixltr has_url  blasts baghdad kill 37 people 
is_analytic_yes insight_yes hear_yes netspeak_yes has_url  amtrak engineer distracted radio deadly derailment ntsb says 
is_clout_no differ_yes netspeak_yes few_sixltr low_wps has_qmark has_photo has_url  joe gould really write world longest book jill lepore set rest 
is_analytic_no is_authentic_no tentat_yes affiliation_yes achieve_yes netspeak_yes few_sixltr has_url  caught trying join isis jihadi rehab 
is_analytic_yes is_authentic_yes power_yes reward_yes netspeak_yes has_url  crowdfunding small businesses gets kick start 
is_authentic_yes is_tone_yes posemo_yes cause_yes achieve_yes power_yes reward_yes netspeak_yes has_url  supreme court sends birth control case sides claim victory 
is_clout_yes is_tone_yes posemo_yes certain_yes affiliation_yes netspeak_yes has_url  experience cultural values fashions food shape picky eating habits 
is_analytic_yes is_tone_no negemo_yes sad_yes hear_yes power_yes netspeak_yes few_sixltr has_photo has_url  ring 10 stepped ex pro boxer iran barkley fell lowest life 
is_analytic_yes is_clout_no is_authentic_yes differ_yes power_yes reward_yes netspeak_yes has_url  tons cocaine seized massive colombian drug bust 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps has_qmark has_url  linking aid government behavior good way encourage countries change better 
is_authentic_no certain_yes see_yes netspeak_yes low_wps has_url  man experience guillain barre syndrome matter day completely paralyzed watch 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes achieve_yes power_yes netspeak_yes has_url  stories evangelicals trump vets wait health care 
netspeak_yes has_photo has_url  luther developed guillain barre stomach virus 08 dealing effects 
is_authentic_no netspeak_yes has_photo has_url    
is_authentic_no netspeak_yes many_sixltr has_url  lifelike explosive item manchester united stadium training device 
is_clout_no is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes tentat_yes differ_yes see_yes hear_yes netspeak_yes has_url  like song visual effects sergey lazarev performance fun watch 
is_analytic_yes is_authentic_no feel_yes power_yes netspeak_yes many_sixltr has_url  heavy dose glitter pyrotechnics politics eurovision 2016 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes hear_yes affiliation_yes power_yes risk_yes netspeak_yes many_sixltr has_url  homeland security secretary jeh johnson says help way air travelers 
is_analytic_no differ_yes feel_yes reward_yes netspeak_yes few_sixltr has_url  rough statue pose 
is_analytic_yes posemo_yes tentat_yes power_yes netspeak_yes has_url  29 states ban gassing snake burrows popular method catching rattlesnakes texas big hold 
is_analytic_no is_authentic_no is_tone_no negemo_yes anger_yes hear_yes power_yes netspeak_yes many_sixltr has_url  chicago mayor says disband criticized police oversight agency 
